,date,hour,temperature,speed,direction
222,2022-11-03,10,18,17,1
223,2022-11-03,8,17,25,1
224,2022-11-03,6,16,14,1
225,2022-11-03,4,16,10,2
226,2022-11-03,2,16,9,2
227,2022-11-03,0,15,8,2
228,2022-11-02,22,16,7,3
229,2022-11-02,20,16,7,3
230,2022-11-02,18,16,2,2
231,2022-11-02,16,17,3,0
232,2022-11-02,14,18,4,0
233,2022-11-02,12,16,7,2
234,2022-11-02,10,17,7,0
235,2022-11-02,8,16,6,0
236,2022-11-02,6,16,4,0
237,2022-11-02,4,16,6,0
238,2022-11-02,2,17,9,0
239,2022-11-02,0,17,10,0
240,2022-11-01,22,16,11,0
241,2022-11-01,20,16,11,0
242,2022-11-01,18,16,8,0
243,2022-11-01,16,17,10,0
244,2022-11-01,14,18,10,0
245,2022-11-01,12,18,9,0
246,2022-11-01,10,17,9,0
247,2022-11-01,8,16,10,0
248,2022-11-01,6,16,8,0
249,2022-11-01,4,16,9,0
250,2022-11-01,2,16,11,0
251,2022-11-01,0,16,13,0
